,number,value,datetime_start,datetime_complete,duration,params_alpha_bayesian_ridge,params_alpha_elastic_net,params_alpha_gamma_regressor,params_alpha_gaussian_process_regressor,params_alpha_lasso,params_alpha_poisson_regressor,params_alpha_quantile_regressor,params_alpha_ridge_model,params_alpha_tweedie_regressor,params_bootstrap_extra_trees_regressor,params_criterion_extra_trees_regressor,params_estimator_1,params_estimator_2,params_estimator_3,params_estimator_4,params_final_estimator,params_l1_ratio_elastic_net,params_lambda_1_bayesian_ridge,params_lambda_2_bayesian_ridge,params_max_features_extra_trees_regressor,params_n_components,params_n_estimators_extra_trees_regressor,params_power_tweedie_regressor,params_quantile,params_quantile_range,params_scale,params_standardization_type,params_standardizer,params_with_centering,params_with_scaling,state
14,14,inf,2024-04-22 16:17:36.002260,2024-04-22 16:17:44.243694,0 days 00:00:08.241434,0.5274389369445109,9.707809275696567,,0.9799031728205675,,,,,1.9954497236524997,,,tweedie_regressor_model,bayesian_ridge_model,bayesian_ridge_model,elastic_net_model,gaussian_process_regressor_model,0.968877404380725,2.6390225627995982,0.2572640099011848,,,,0.9813681765120318,,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
15,15,inf,2024-04-22 16:17:44.258597,2024-04-22 16:17:53.016020,0 days 00:00:08.757423,0.32569015418898584,,,0.6885592871998925,,,,,,,,decision_tree_regressor_model,gaussian_process_regressor_model,gaussian_process_regressor_model,linear_regression_model,bayesian_ridge_model,,4.937432954319238,1.09679962351681,,,,,,"(5.0, 95.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
16,16,inf,2024-04-22 16:17:53.034057,2024-04-22 16:18:01.711041,0 days 00:00:08.676984,,7.684256932031772,,0.9663579491473862,0.011875313092471806,,,,,,,gaussian_process_regressor_model,elastic_net_model,lasso_model,lasso_model,linear_regression_model,0.6547567886945316,,,,,,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,False,COMPLETE
17,17,inf,2024-04-22 16:18:01.726348,2024-04-22 16:18:06.864957,0 days 00:00:05.138609,3.4267917483977373,,,,,,,7.409713913876669,0.009552049321105427,True,absolute_error,linear_regression_model,tweedie_regressor_model,ridge_model,bayesian_ridge_model,extra_trees_regressor_model,,0.3733687545697393,3.13224131375432,sqrt,,1000.0,0.016933157745365857,,"(25.0, 75.0)",,,pass_through_standardizer,False,True,COMPLETE
18,18,inf,2024-04-22 16:18:06.880112,2024-04-22 16:18:16.206185,0 days 00:00:09.326073,,,0.03183417490288254,,2.135946048018719,,0.009720607750287824,,,,,decision_tree_regressor_model,lasso_model,gamma_regressor_model,pls_regression_model,quantile_regressor_model,,,,,10.0,,,0.8961410790164086,"(10.0, 90.0)",False,,chembl_standardizer,False,False,COMPLETE
19,19,0.567887568318052,2024-04-22 16:18:16.221926,2024-04-22 16:21:56.065836,0 days 00:03:39.843910,3.1730535842564045,,,,,,,7.40546993361756,,True,squared_error,decision_tree_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,6.018746198755096,9.806054121193046,auto,7.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
20,20,inf,2024-04-22 16:21:56.085011,2024-04-22 16:22:04.582467,0 days 00:00:08.497456,3.055398878352622,,,,,,,7.0238259978029625,,True,squared_error,extra_trees_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,5.762319643686145,9.93425296501903,auto,6.0,100.0,,,"(5.0, 95.0)",False,simple_standardisation,custom_standardizer,False,False,COMPLETE
21,21,0.5682115970559807,2024-04-22 16:22:04.653339,2024-04-22 16:25:44.900075,0 days 00:03:40.246736,2.96683224499127,,,,,,,7.997600046197373,,True,squared_error,decision_tree_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,5.545082799445558,3.5268719491590446,auto,7.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
22,22,0.5657837967031328,2024-04-22 16:25:44.919249,2024-04-22 16:29:28.656493,0 days 00:03:43.737244,2.7869194738442222,,,,,,,7.187045056961007,,True,squared_error,decision_tree_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,5.506713743603611,3.4766554175628173,auto,7.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
23,23,0.5640561846670986,2024-04-22 16:29:28.674901,2024-04-22 16:33:11.028681,0 days 00:03:42.353780,3.822456768886393,,,,,,,7.2694690682017695,,True,squared_error,decision_tree_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,6.047018453106741,4.245752931796079,auto,7.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
24,24,inf,2024-04-22 16:33:11.049061,2024-04-22 16:33:19.680813,0 days 00:00:08.631752,4.658990940756907,,,,,,,6.497066975549725,,True,squared_error,pls_regression_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,6.94215050477608,3.85440940876457,auto,8.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
25,25,0.5560161577746718,2024-04-22 16:33:19.751144,2024-04-22 16:40:44.838041,0 days 00:07:25.086897,4.766562036574461,,,,,,,6.044346235992283,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,4.01211601408063,9.798666104738858,auto,5.0,300.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
26,26,0.5560913826306416,2024-04-22 16:40:44.852413,2024-04-22 18:04:04.938408,0 days 01:23:20.085995,6.0986075152031365,,,,,,0.3441289145962968,,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,quantile_regressor_model,linear_regression_model,,3.855637672355584,5.309903660506,auto,5.0,400.0,,0.3814034973839763,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
27,27,0.5558865464639056,2024-04-22 18:04:04.953994,2024-04-22 20:51:55.186451,0 days 02:47:50.232457,5.732493239971402,,,,,,0.3383543526024978,,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,quantile_regressor_model,linear_regression_model,,3.487096723607327,7.7041115010963,auto,5.0,400.0,,0.10045352411601499,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
28,28,0.5457854608714057,2024-04-22 20:51:55.205629,2024-04-22 23:47:51.502685,0 days 02:55:56.297056,6.1377168674214575,,,,,,0.3281795745144706,,,False,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,quantile_regressor_model,linear_regression_model,,3.364694853167025,8.116410672996771,auto,4.0,400.0,,0.12334774271794996,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
29,29,inf,2024-04-22 23:47:51.581261,2024-04-22 23:48:04.569585,0 days 00:00:12.988324,6.638295681701241,,1.9254289666842943,,,,0.37972857834454593,,,,,bayesian_ridge_model,decision_tree_regressor_model,gamma_regressor_model,quantile_regressor_model,linear_regression_model,,3.11683087749829,8.364979888934762,,,,,0.1327210104216212,"(5.0, 95.0)",,,basic_standardizer,True,True,COMPLETE
30,30,inf,2024-04-22 23:48:04.588588,2024-04-22 23:48:15.890336,0 days 00:00:11.301748,7.097520028632663,,,,,,0.2817967187548745,,,,,bayesian_ridge_model,linear_regression_model,linear_regression_model,quantile_regressor_model,linear_regression_model,,2.2482932297915217,8.21671158455095,,,,,0.11439792772800576,"(5.0, 95.0)",,,basic_standardizer,True,True,COMPLETE
31,31,0.5457076007005981,2024-04-22 23:48:15.912590,2024-04-23 01:57:52.945912,0 days 02:09:37.033322,5.356694088648427,,,,,,0.3885117359919559,,,False,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,quantile_regressor_model,linear_regression_model,,3.9300685082925946,8.120001825500086,auto,4.0,400.0,,0.2871748917369936,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
32,32,0.5464229152418257,2024-04-23 01:57:53.621366,2024-04-23 04:03:16.258016,0 days 02:05:22.636650,,,,,,,0.4330057435679014,3.100402212454981,,False,friedman_mse,ridge_model,extra_trees_regressor_model,pls_regression_model,quantile_regressor_model,linear_regression_model,,,,auto,4.0,400.0,,0.24370505584043745,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
33,33,0.575990981121961,2024-04-23 04:03:16.272417,2024-04-23 05:54:16.835938,0 days 01:51:00.563521,,,,,,,0.47424903827016684,2.8163452909225763,,False,friedman_mse,ridge_model,extra_trees_regressor_model,pls_regression_model,quantile_regressor_model,linear_regression_model,,,,sqrt,3.0,400.0,,0.24435326037588717,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
34,34,inf,2024-04-23 05:54:16.850429,2024-04-23 05:54:27.224903,0 days 00:00:10.374474,,0.4683482429016603,,,,,0.26727420197093904,2.4029170351471123,0.04382576827957907,,,ridge_model,tweedie_regressor_model,elastic_net_model,quantile_regressor_model,linear_regression_model,0.04083899822923254,,,,,,0.7547200869617338,0.10192839422294889,"(5.0, 95.0)",,,basic_standardizer,True,True,COMPLETE
35,35,inf,2024-04-23 05:54:27.292959,2024-04-23 05:54:36.798351,0 days 00:00:09.505392,7.303700927062992,,,,,0.8477440454464771,0.4722729346737732,0.297376896279522,,,,ridge_model,poisson_regressor_model,bayesian_ridge_model,quantile_regressor_model,linear_regression_model,,1.6741253551406974,7.434834953331483,,,,,0.26171976055659757,"(5.0, 95.0)",,,basic_standardizer,True,True,COMPLETE
36,36,inf,2024-04-23 05:54:36.869306,2024-04-23 05:54:46.190242,0 days 00:00:09.320936,,2.924378527371251,0.7307131617223583,,5.066602190596554,0.7874374259578365,0.3857663788080361,,,,,elastic_net_model,gamma_regressor_model,poisson_regressor_model,quantile_regressor_model,lasso_model,0.30109573462412476,,,,,,,0.19193819249620955,"(5.0, 95.0)",,,basic_standardizer,True,True,COMPLETE
37,37,inf,2024-04-23 05:54:46.211437,2024-04-23 05:54:57.567577,0 days 00:00:11.356140,5.401225614504909,,1.44069470110926,0.00572175658960028,,,,,1.9971392895862936,,,gamma_regressor_model,bayesian_ridge_model,decision_tree_regressor_model,gaussian_process_regressor_model,tweedie_regressor_model,,3.8258058295966446,6.318766876838559,,,,0.6598624720564444,,"(5.0, 95.0)",,,basic_standardizer,True,True,COMPLETE
38,38,0.6707924611853275,2024-04-23 05:54:57.582314,2024-04-23 07:22:55.769831,0 days 01:27:58.187517,4.785841657960171,,,,,,0.23143072281481367,5.2396998222504685,,,,bayesian_ridge_model,pls_regression_model,ridge_model,quantile_regressor_model,linear_regression_model,,4.242725050538732,8.158540696532283,,4.0,,,0.30130001738869794,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
39,39,inf,2024-04-23 07:22:55.791685,2024-04-23 07:23:05.972019,0 days 00:00:10.180334,,,1.055507782224609,,8.81687383978934,1.9743153684276304,0.4566044067374986,,,,,poisson_regressor_model,lasso_model,pls_regression_model,quantile_regressor_model,gamma_regressor_model,,,,,4.0,,,0.11614080001249408,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
40,40,inf,2024-04-23 07:23:05.991181,2024-04-23 07:23:21.233308,0 days 00:00:15.242127,8.028344353769038,,,,,0.6021342705312072,,,,False,friedman_mse,bayesian_ridge_model,linear_regression_model,extra_trees_regressor_model,poisson_regressor_model,pls_regression_model,,3.1220512735274,7.026273368172706,log2,3.0,700.0,,,"(10.0, 90.0)",False,,basic_standardizer,True,True,COMPLETE
41,41,inf,2024-04-23 07:23:21.249903,2024-04-23 07:23:32.025705,0 days 00:00:10.775802,5.008534100795627,6.851629357227043,,,,,,,,False,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,bayesian_ridge_model,elastic_net_model,0.40176050562876314,4.3137718368153095,8.91183395923701,auto,5.0,300.0,,,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
42,42,inf,2024-04-23 07:23:32.041411,2024-04-23 07:24:03.886750,0 days 00:00:31.845339,,,,,7.309071275531953,,,,0.5665479138287719,False,friedman_mse,lasso_model,extra_trees_regressor_model,tweedie_regressor_model,decision_tree_regressor_model,linear_regression_model,,,,auto,,300.0,0.023132097584987577,,"(5.0, 95.0)",,,basic_standardizer,True,True,COMPLETE
43,43,inf,2024-04-23 07:24:03.913640,2024-04-23 07:24:42.319611,0 days 00:00:38.405971,6.037740917565313,,0.7399251467952607,,,1.2270484788148568,,,,False,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,gamma_regressor_model,poisson_regressor_model,,3.335359582215455,9.206075732890525,auto,5.0,400.0,,,"(5.0, 95.0)",False,,chembl_standardizer,True,True,COMPLETE
44,44,inf,2024-04-23 07:24:42.354648,2024-04-23 07:24:48.130039,0 days 00:00:05.775391,4.739557242638823,,,,,,0.19258941799047272,,,False,friedman_mse,bayesian_ridge_model,quantile_regressor_model,quantile_regressor_model,extra_trees_regressor_model,decision_tree_regressor_model,,4.4730477107079505,7.677293188746325,auto,,600.0,,0.18264302876135347,"(5.0, 95.0)",,,pass_through_standardizer,True,True,COMPLETE
45,45,inf,2024-04-23 07:24:48.146095,2024-04-23 07:24:57.152223,0 days 00:00:09.006128,,,,0.3946071251559943,,,,5.385524543000226,,,,linear_regression_model,ridge_model,pls_regression_model,pls_regression_model,gaussian_process_regressor_model,,,,,4.0,,,,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
