,number,value,datetime_start,datetime_complete,duration,params_alpha_bayesian_ridge,params_alpha_elastic_net,params_alpha_gamma_regressor,params_alpha_gaussian_process_regressor,params_alpha_lasso,params_alpha_poisson_regressor,params_alpha_quantile_regressor,params_alpha_ridge_model,params_alpha_tweedie_regressor,params_bootstrap_extra_trees_regressor,params_criterion_extra_trees_regressor,params_estimator_1,params_estimator_2,params_estimator_3,params_estimator_4,params_final_estimator,params_l1_ratio_elastic_net,params_lambda_1_bayesian_ridge,params_lambda_2_bayesian_ridge,params_max_features_extra_trees_regressor,params_n_components,params_n_estimators_extra_trees_regressor,params_power_tweedie_regressor,params_quantile,params_quantile_range,params_scale,params_standardization_type,params_standardizer,params_with_centering,params_with_scaling,state
56,56,inf,2024-04-23 19:35:22.579495,2024-04-23 19:35:29.812291,0 days 00:00:07.232796,,,,,,1.60080020098776,0.410960484016839,,,,,poisson_regressor_model,quantile_regressor_model,decision_tree_regressor_model,quantile_regressor_model,pls_regression_model,,,,,5.0,,,0.25286809926768594,"(25.0, 75.0)",False,,pass_through_standardizer,True,True,COMPLETE
57,57,0.7697420966278233,2024-04-23 19:35:29.894502,2024-04-23 19:38:52.712124,0 days 00:03:22.817622,,0.18848030646308,,0.22392086296222458,5.386014385447895,,,,,,,lasso_model,elastic_net_model,gaussian_process_regressor_model,decision_tree_regressor_model,linear_regression_model,0.5618263760465843,,,,,,,,"(5.0, 95.0)",,,chembl_standardizer,True,True,COMPLETE
58,58,inf,2024-04-23 19:38:52.731029,2024-04-23 19:39:04.711853,0 days 00:00:11.980824,,5.379607898099538,,,,0.41898672455818886,,,,True,poisson,pls_regression_model,poisson_regressor_model,extra_trees_regressor_model,elastic_net_model,decision_tree_regressor_model,0.8351744639858864,,,auto,6.0,400.0,,,"(5.0, 95.0)",True,,basic_standardizer,True,False,COMPLETE
59,59,0.581246069459332,2024-04-23 19:39:04.761083,2024-04-23 19:56:32.770710,0 days 00:17:28.009627,5.396297430506623,,,,7.907336748821411,,,5.869362036785805,,False,absolute_error,extra_trees_regressor_model,bayesian_ridge_model,pls_regression_model,lasso_model,ridge_model,,3.368219632267671,9.38916184223342,log2,2.0,300.0,,,"(5.0, 95.0)",True,,basic_standardizer,False,True,COMPLETE
60,60,inf,2024-04-23 19:56:32.844581,2024-04-23 19:56:44.905175,0 days 00:00:12.060594,6.202256637424563,,,,,1.2321402218633302,,,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,bayesian_ridge_model,extra_trees_regressor_model,poisson_regressor_model,,5.009033271894559,8.579598562040106,sqrt,,600.0,,,"(25.0, 75.0)",,,basic_standardizer,True,True,COMPLETE
61,61,0.556202602991112,2024-04-23 19:56:44.932612,2024-04-23 20:10:55.572998,0 days 00:14:10.640386,4.177692792920054,,,,,,,6.120186528783291,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,3.945798397635167,4.873296185610019,auto,4.0,400.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
62,62,0.5555020451846012,2024-04-23 20:10:55.624797,2024-04-23 20:28:09.474171,0 days 00:17:13.849374,4.174718687981445,,,,,,,5.989925326676658,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,3.9390331937122554,5.230336468503246,auto,4.0,400.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
63,63,inf,2024-04-23 20:28:09.545164,2024-04-23 20:28:32.587143,0 days 00:00:23.041979,5.279850904191644,,0.8296946158357036,,,,,4.569176435563776,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,gamma_regressor_model,ridge_model,linear_regression_model,,2.9984009650760974,6.640883105002237,auto,,200.0,,,"(5.0, 95.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
64,64,inf,2024-04-23 20:28:32.607875,2024-04-23 20:28:44.286371,0 days 00:00:11.678496,,,,0.5513823725341884,,,0.3027395728457004,5.828661808844967,,,,quantile_regressor_model,ridge_model,pls_regression_model,quantile_regressor_model,gaussian_process_regressor_model,,,,,3.0,,,0.4259331316648195,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
65,65,inf,2024-04-23 20:28:44.304033,2024-04-23 20:28:55.775941,0 days 00:00:11.471908,5.75769949618309,,,,,,0.4257761843415821,,,False,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,quantile_regressor_model,bayesian_ridge_model,bayesian_ridge_model,,4.542821383550139,5.257719174111204,auto,,500.0,,0.16410744970637586,"(5.0, 95.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
66,66,inf,2024-04-23 20:28:55.794182,2024-04-23 20:29:08.227765,0 days 00:00:12.433583,,,,,5.996324926146236,,0.5161270613799007,,0.3733907775217493,,,tweedie_regressor_model,lasso_model,pls_regression_model,pls_regression_model,quantile_regressor_model,,,,,4.0,,0.8186654030164799,0.2341732902217757,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
67,67,inf,2024-04-23 20:29:08.246850,2024-04-23 20:29:18.664915,0 days 00:00:10.418065,,,,,,,,4.9664187032617555,0.8724326687987927,,,ridge_model,tweedie_regressor_model,ridge_model,ridge_model,linear_regression_model,,,,,,,0.13410378311802695,,"(10.0, 90.0)",,,basic_standardizer,False,True,COMPLETE
68,68,inf,2024-04-23 20:29:18.685981,2024-04-23 20:29:31.360089,0 days 00:00:12.674108,,,,0.7826923770650667,,,0.3523799251359323,,,False,poisson,gaussian_process_regressor_model,extra_trees_regressor_model,pls_regression_model,quantile_regressor_model,extra_trees_regressor_model,,,,log2,5.0,500.0,,0.17825593414433488,"(5.0, 95.0)",True,heavy_standardisation,custom_standardizer,True,False,COMPLETE
69,69,inf,2024-04-23 20:29:31.385220,2024-04-23 20:29:44.961129,0 days 00:00:13.575909,4.668877799565834,,,0.0037357900656491694,3.98677784482565,,,,1.7232556604775007,,,bayesian_ridge_model,gaussian_process_regressor_model,lasso_model,tweedie_regressor_model,bayesian_ridge_model,,3.548069708070526,7.249973103830486,,,,0.5568938194517248,,"(5.0, 95.0)",,,pass_through_standardizer,False,True,COMPLETE
70,70,inf,2024-04-23 20:29:44.976534,2024-04-23 20:30:03.186818,0 days 00:00:18.210284,,,,,,,0.4166071483250943,,,,,linear_regression_model,linear_regression_model,pls_regression_model,quantile_regressor_model,linear_regression_model,,,,,4.0,,,0.10288724592172434,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
71,71,0.5550742712447616,2024-04-23 20:30:03.225104,2024-04-23 20:42:56.969028,0 days 00:12:53.743924,4.281943681596662,,,,,,,6.166001778121015,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,3.963463098849932,5.192204868734402,auto,4.0,400.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
72,72,0.5536820576609357,2024-04-23 20:42:57.031458,2024-04-23 20:53:19.950279,0 days 00:10:22.918821,4.106228201751893,,,,,,,6.27437296947207,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,4.066911019219809,5.71652230441,auto,4.0,400.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
73,73,0.5556423381224462,2024-04-23 20:53:20.007870,2024-04-23 21:01:36.565526,0 days 00:08:16.557656,3.9839217619455707,,,,,,,6.385869736710286,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,2.7596561024811024,6.5714142601963,auto,3.0,300.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
74,74,0.5548580481413297,2024-04-23 21:01:36.631665,2024-04-23 21:14:28.766908,0 days 00:12:52.135243,3.8757425817327227,,,,,,,6.59161632808665,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,2.801016947084645,6.67726440857288,auto,3.0,400.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
75,75,0.5561855530929123,2024-04-23 21:14:28.806388,2024-04-23 23:32:40.059677,0 days 02:18:11.253289,3.8919382980908166,,,,,,,6.46074856442998,,True,absolute_error,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,2.717663649847667,6.508644912257995,auto,2.0,200.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
76,76,0.5522130890902812,2024-04-23 23:32:40.097234,2024-04-23 23:49:18.495058,0 days 00:16:38.397824,3.5776677390451237,1.52561008315255,,,,,,5.615142673326944,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,elastic_net_model,ridge_model,bayesian_ridge_model,0.6281676500428173,2.737260362116769,5.941460523441638,auto,,500.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
77,77,0.6343869128541101,2024-04-23 23:49:18.515049,2024-04-23 23:52:24.545097,0 days 00:03:06.030048,3.5174686047874895,1.499391092474775,,,,,,5.4157695483974795,,,,pls_regression_model,decision_tree_regressor_model,elastic_net_model,ridge_model,bayesian_ridge_model,0.6187297441615145,2.4616681319981346,5.888984749264263,,3.0,,,,"(25.0, 75.0)",True,heavy_standardisation,custom_standardizer,False,True,COMPLETE
78,78,inf,2024-04-23 23:52:24.565916,2024-04-23 23:52:39.182618,0 days 00:00:14.616702,2.555219688407924,3.019896414438126,,,,,,1.637040013696713,,True,friedman_mse,extra_trees_regressor_model,extra_trees_regressor_model,elastic_net_model,ridge_model,bayesian_ridge_model,0.48147659832851003,5.113816251310683,5.65840583569911,auto,,500.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
79,79,inf,2024-04-23 23:52:39.209947,2024-04-23 23:52:53.302709,0 days 00:00:14.092762,3.3251602064071526,1.4176187317709332,,,,,,4.901907703125759,,,,ridge_model,elastic_net_model,elastic_net_model,ridge_model,bayesian_ridge_model,0.659833666096086,3.0062218571488524,4.816860777237581,,,,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
80,80,0.5811701381392229,2024-04-23 23:52:53.328000,2024-04-23 23:59:27.550967,0 days 00:06:34.222967,4.371408769678772,1.156089502521449,,,,,,4.267604381136083,,True,friedman_mse,elastic_net_model,extra_trees_regressor_model,linear_regression_model,ridge_model,bayesian_ridge_model,0.8033751262476748,4.689847660140859,6.197367304247841,sqrt,,1000.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
81,81,0.5513592605976013,2024-04-23 23:59:27.577855,2024-04-24 00:11:23.835520,0 days 00:11:56.257665,3.824682084150272,,,,,,,6.584469806755318,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,2.6999228166757674,6.683711818436615,auto,3.0,400.0,,,"(25.0, 75.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
82,82,0.555205568906616,2024-04-24 00:11:23.866642,2024-04-24 00:26:24.713950,0 days 00:15:00.847308,3.6074326157888663,,,0.6265040982149421,,,,5.6975227720599495,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,gaussian_process_regressor_model,ridge_model,bayesian_ridge_model,,3.4639465484031877,6.912622686320739,auto,,400.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
83,83,inf,2024-04-24 00:26:24.751081,2024-04-24 00:26:41.089681,0 days 00:00:16.338600,3.6793590692372784,,1.9850115774631825,0.8604767862110919,,,,5.39326538577423,,,,bayesian_ridge_model,gamma_regressor_model,gaussian_process_regressor_model,ridge_model,bayesian_ridge_model,,2.6768020917116995,6.998354477630795,,,,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
84,84,0.5532023910578278,2024-04-24 00:26:41.170397,2024-04-24 00:42:48.137512,0 days 00:16:06.967115,3.5178374272493547,,,0.6559670708256952,,,,6.682918054421643,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,gaussian_process_regressor_model,ridge_model,bayesian_ridge_model,,3.4164402458725536,7.058673039574366,auto,,500.0,,,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
85,85,inf,2024-04-24 00:42:48.153951,2024-04-24 00:43:01.281595,0 days 00:00:13.127644,,,0.9423770024729385,0.707168469739831,4.4458267968700955,,,,,True,friedman_mse,gamma_regressor_model,extra_trees_regressor_model,gaussian_process_regressor_model,linear_regression_model,lasso_model,,,,auto,,500.0,,,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
86,86,inf,2024-04-24 00:43:01.302606,2024-04-24 00:43:14.876612,0 days 00:00:13.574006,3.0543897345127573,,,0.49508482791255587,,1.0123001680759842,,6.8066788444392845,,,,bayesian_ridge_model,poisson_regressor_model,poisson_regressor_model,gaussian_process_regressor_model,ridge_model,,1.883857719233592,5.722749602117877,,,,,,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
87,87,inf,2024-04-24 00:43:14.895011,2024-04-24 00:43:28.708645,0 days 00:00:13.813634,,,1.1577337749842684,,,1.6869935848443793,,6.645985109032988,1.1155225404273672,,,poisson_regressor_model,pls_regression_model,gamma_regressor_model,ridge_model,tweedie_regressor_model,,,,,2.0,,0.6890798360540936,,"(25.0, 75.0)",False,simple_standardisation,custom_standardizer,False,False,COMPLETE
88,88,0.5591457329264476,2024-04-24 00:43:28.735907,2024-04-24 01:01:12.318761,0 days 00:17:43.582854,2.4639276333893942,,,,2.5570510634805426,,,,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,decision_tree_regressor_model,lasso_model,bayesian_ridge_model,,1.5148397879633444,6.316567812537253,auto,,600.0,,,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
89,89,inf,2024-04-24 01:01:12.338069,2024-04-24 01:01:24.892502,0 days 00:00:12.554433,3.357354820839678,2.6066839322576745,,,,1.3744383524705572,,,,,,bayesian_ridge_model,bayesian_ridge_model,elastic_net_model,poisson_regressor_model,pls_regression_model,0.49290850011620974,2.3717217817502583,6.735284805202782,,3.0,,,,"(25.0, 75.0)",False,,chembl_standardizer,False,True,COMPLETE
90,90,inf,2024-04-24 01:01:24.973578,2024-04-24 01:01:38.141808,0 days 00:00:13.168230,4.2994013194089264,,0.1991990079902679,,6.932294385955382,,,7.847636726224219,0.7747391787240969,,,lasso_model,tweedie_regressor_model,bayesian_ridge_model,ridge_model,gamma_regressor_model,,3.0543259112407997,7.9222069799293235,,,,0.505430433530049,,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
91,91,0.5532604264175427,2024-04-24 01:01:38.187620,2024-04-24 01:13:52.550128,0 days 00:12:14.362508,3.7965028691817846,,,0.6687350126705494,,,,5.695135607702471,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,gaussian_process_regressor_model,ridge_model,bayesian_ridge_model,,3.5490678398758004,7.213497991632393,auto,,400.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
92,92,0.5518157719393411,2024-04-24 01:13:52.574591,2024-04-24 01:29:04.246697,0 days 00:15:11.672106,3.745426902323107,,,0.8694689455008475,,,,6.811825948517047,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,gaussian_process_regressor_model,ridge_model,bayesian_ridge_model,,3.579444101726269,7.297084678871138,auto,,500.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
93,93,0.5536043361915082,2024-04-24 01:29:04.277055,2024-04-24 01:44:14.864573,0 days 00:15:10.587518,3.8799807857789865,,,0.7982820776155217,,,,6.810294867546329,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,gaussian_process_regressor_model,ridge_model,bayesian_ridge_model,,3.367571506630039,7.34994184170031,auto,,500.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
94,94,inf,2024-04-24 01:44:14.891506,2024-04-24 01:47:37.061585,0 days 00:03:22.170079,3.0249473269638045,,0.5408818920057483,0.8335701002357427,,,0.610672424767564,,,,,bayesian_ridge_model,quantile_regressor_model,gaussian_process_regressor_model,gamma_regressor_model,bayesian_ridge_model,,3.442644004731185,7.054796619628995,,,,,0.4628630091744622,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
95,95,0.7914968253968254,2024-04-24 01:47:37.078535,2024-04-24 02:02:30.186717,0 days 00:14:53.108182,,,,0.755001077010413,,,,6.881996096954958,,True,friedman_mse,ridge_model,extra_trees_regressor_model,gaussian_process_regressor_model,decision_tree_regressor_model,decision_tree_regressor_model,,,,auto,,500.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
96,96,0.5609779654360336,2024-04-24 02:02:30.202135,2024-04-24 03:46:09.869164,0 days 01:43:39.667029,,0.019496940601622548,,0.882639763076096,,,0.5121767265608089,7.684312890762108,,True,squared_error,quantile_regressor_model,extra_trees_regressor_model,gaussian_process_regressor_model,ridge_model,elastic_net_model,0.3744006177953506,,,auto,,500.0,,0.3379310754186854,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
97,97,inf,2024-04-24 03:46:09.883211,2024-04-24 03:46:21.698116,0 days 00:00:11.814905,3.6006902587669374,,,0.6841816556130995,5.482122923182399,1.8411809381317257,,,,False,poisson,bayesian_ridge_model,lasso_model,gaussian_process_regressor_model,extra_trees_regressor_model,poisson_regressor_model,,4.203317810961199,7.390045604002323,auto,,600.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
98,98,inf,2024-04-24 03:46:21.713494,2024-04-24 03:46:31.645703,0 days 00:00:09.932209,3.239212524218364,,,0.7745436068745406,,,,7.091582167921355,0.6015192198456042,,,tweedie_regressor_model,ridge_model,gaussian_process_regressor_model,bayesian_ridge_model,bayesian_ridge_model,,3.6409148705184737,8.020215098922938,,,,0.8916992983231863,,"(25.0, 75.0)",,,chembl_standardizer,False,True,COMPLETE
99,99,0.5495502505941869,2024-04-24 03:46:31.723253,2024-04-24 03:58:15.614608,0 days 00:11:43.891355,,3.575676226763335,,0.91571012544253,,,,,,True,friedman_mse,linear_regression_model,extra_trees_regressor_model,gaussian_process_regressor_model,elastic_net_model,gaussian_process_regressor_model,0.5950331983775743,,,auto,,500.0,,,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
