,number,value,datetime_start,datetime_complete,duration,params_fpSize,params_learning_rate_hist_gradient_boosting_classifier,params_maxPath,params_minPath,params_percentile,params_standardization_type,params_standardizer,state
33,33,0.5709271852178829,2024-05-01 19:31:48.020858,2024-05-01 19:33:52.200939,0 days 00:02:04.180081,1024,0.825927866304022,8,2,47,simple_standardisation,custom_standardizer,COMPLETE
34,34,0.5951002524607176,2024-05-01 19:33:52.219614,2024-05-01 19:35:09.370213,0 days 00:01:17.150599,1024,0.7396627710026107,8,2,40,simple_standardisation,custom_standardizer,COMPLETE
35,35,-inf,2024-05-01 19:35:09.387039,2024-05-01 19:35:16.972527,0 days 00:00:07.585488,2048,0.8443563727976574,7,2,68,heavy_standardisation,custom_standardizer,COMPLETE
36,36,0.5962959637261963,2024-05-01 19:35:16.987305,2024-05-01 19:36:15.380331,0 days 00:00:58.393026,1024,0.9424743382959822,9,3,94,,pass_through_standardizer,COMPLETE
37,37,0.6282420273524926,2024-05-01 19:36:15.393250,2024-05-01 19:39:56.372622,0 days 00:03:40.979372,2048,0.7591584433053234,8,2,28,simple_standardisation,custom_standardizer,COMPLETE
38,38,0.5710031189740492,2024-05-01 19:39:56.389585,2024-05-01 19:40:44.227246,0 days 00:00:47.837661,2048,0.7209679619242497,10,2,28,,basic_standardizer,COMPLETE
39,39,0.5921949368460997,2024-05-01 19:40:44.244666,2024-05-01 19:41:25.837253,0 days 00:00:41.592587,2048,0.7949829006025803,5,2,19,,basic_standardizer,COMPLETE
40,40,0.583225876836342,2024-05-01 19:41:25.855129,2024-05-01 19:41:45.231800,0 days 00:00:19.376671,2048,0.8775617355508245,7,3,34,,pass_through_standardizer,COMPLETE
41,41,0.5924582859001464,2024-05-01 19:41:45.249113,2024-05-01 19:42:36.034242,0 days 00:00:50.785129,2048,0.9402383917207221,8,2,48,simple_standardisation,custom_standardizer,COMPLETE
42,42,0.6241924199831176,2024-05-01 19:42:36.053268,2024-05-01 19:47:10.674051,0 days 00:04:34.620783,2048,0.9909281468185862,8,2,38,simple_standardisation,custom_standardizer,COMPLETE
43,43,0.6120804292606618,2024-05-01 19:47:10.689541,2024-05-01 20:02:52.476609,0 days 00:15:41.787068,1024,0.8274800429709672,8,2,23,simple_standardisation,custom_standardizer,COMPLETE
44,44,0.580602935823866,2024-05-01 20:02:52.491231,2024-05-01 20:22:32.915131,0 days 00:19:40.423900,1024,0.9048445509809653,9,2,53,simple_standardisation,custom_standardizer,COMPLETE
45,45,0.5920060966165617,2024-05-01 20:22:32.928938,2024-05-01 20:42:37.130277,0 days 00:20:04.201339,2048,0.9550110368459356,7,2,32,,chembl_standardizer,COMPLETE
46,46,0.6137938921543573,2024-05-01 20:42:37.149212,2024-05-01 21:02:45.752350,0 days 00:20:08.603138,1024,0.869911818191935,9,2,44,,basic_standardizer,COMPLETE
47,47,0.593044881475114,2024-05-01 21:02:45.769985,2024-05-01 21:25:13.500500,0 days 00:22:27.730515,1024,0.7565911000617447,10,2,14,,chembl_standardizer,COMPLETE
48,48,-inf,2024-05-01 21:25:13.517773,2024-05-01 21:25:22.474110,0 days 00:00:08.956337,1024,0.7021827886240137,8,3,29,heavy_standardisation,custom_standardizer,COMPLETE
49,49,0.611018613169776,2024-05-01 21:25:22.492557,2024-05-01 21:28:39.982903,0 days 00:03:17.490346,1024,0.9749992046898188,5,2,7,,chembl_standardizer,COMPLETE
50,50,0.5978938851845829,2024-05-01 21:28:40.001218,2024-05-01 21:30:02.117588,0 days 00:01:22.116370,2048,0.90949604894031,6,2,53,,pass_through_standardizer,COMPLETE
51,51,0.5977312977719954,2024-05-01 21:30:02.130526,2024-05-01 21:31:50.313790,0 days 00:01:48.183264,2048,0.994605427659721,8,2,37,simple_standardisation,custom_standardizer,COMPLETE
52,52,0.6196252371659348,2024-05-01 21:31:50.332194,2024-05-01 21:33:49.902453,0 days 00:01:59.570259,2048,0.9996598710289093,8,2,39,simple_standardisation,custom_standardizer,COMPLETE
53,53,0.5955454100163402,2024-05-01 21:33:49.920954,2024-05-01 21:35:32.537369,0 days 00:01:42.616415,2048,0.9696625004517107,8,2,44,simple_standardisation,custom_standardizer,COMPLETE
54,54,0.6227287809090135,2024-05-01 21:35:32.556331,2024-05-01 21:51:50.267027,0 days 00:16:17.710696,2048,0.8683408724324818,9,2,50,simple_standardisation,custom_standardizer,COMPLETE
55,55,0.634467404688335,2024-05-01 21:51:50.283916,2024-05-01 22:13:39.652316,0 days 00:21:49.368400,2048,0.8179552875082788,7,2,31,,chembl_standardizer,COMPLETE
56,56,0.6066091795801097,2024-05-01 22:13:39.666091,2024-05-01 22:35:32.634162,0 days 00:21:52.968071,2048,0.8290551723307062,6,2,22,,chembl_standardizer,COMPLETE
57,57,0.597536115047743,2024-05-01 22:35:32.659548,2024-05-01 22:40:12.184645,0 days 00:04:39.525097,1024,0.8126149181175183,5,2,16,,chembl_standardizer,COMPLETE
58,58,0.588714887825353,2024-05-01 22:40:12.203911,2024-05-01 22:41:53.748777,0 days 00:01:41.544866,1024,0.7623811076511899,7,2,31,,chembl_standardizer,COMPLETE
59,59,0.6079495156006784,2024-05-01 22:41:53.765153,2024-05-01 22:43:37.498024,0 days 00:01:43.732871,1024,0.8956148977968397,5,2,7,,chembl_standardizer,COMPLETE
60,60,0.5855250969960272,2024-05-01 22:43:37.510896,2024-05-01 22:45:13.441270,0 days 00:01:35.930374,1024,0.858931426473141,9,2,28,,chembl_standardizer,COMPLETE
